nominals,min,max,step,casc
R1,0,0.015,0.001,Tran1
R3,0,0.1,0.001,Tran2
R5,0.01,0.1,0.001,Tran2
R7,0.01,2,0.001,Tran2
R8,0.01,0.5,0.001,Tran2
R9,0.01,2,0.001,Tran2
R10,0.1,10,0.01,Tran2
R11,0.1,20,0.2,Tran2
R12,0.02,0.5,0.001,Tran3
R13,0.01,0.5,0.001,Tran3
R14,0.1,20,0.01,Tran3
R15,0.01,0.5,0.001,Tran3
R16,0.01,0.5,0.01,Tran3
R17,0.1,10,0.01,Tran3
R22,0.01,0.2,0.001,Tran4
R24,0.01,2,0.01,Tran4
R26,0.1,10,0.01,Tran4
C1,1,200,0.1,Tran2
C2,0.001,0.3,0.0001,Tran2
C3,0.1,30,0.001,Tran2
C4,0.1,10,0.001,Tran3
C5,0.1,30,0.001,Tran3
C8,0.1,30,0.001,Tran4
C9,0.1,5,0.001,Tran4
c12,0.001,0.3,0.0001,Tran4
Rt1,0.05,0.5,0.01,Tran2
Rt2,0.05,0.7,0.01,Tran3
Rt3,0.05,0.5,0.01,Tran3
